name,image_local_path,lat,lng
Karaku - Yên Hoả Japanese BBQ - Song Hành,images/restaurant/Karaku - Yên Hoả Japanese BBQ - Song Hành/cover.jpg, 10.800599477152097, 106.74074093852185
Yakimono - Phan Xích Long,images/restaurant/Yakimono - Phan Xích Long/cover.jpg,10.797817348450016, 106.6893201101147
Rakuen BBQ - Bàu Cát,images/restaurant/Rakuen BBQ - Bàu Cát/cover.jpg,10.792687504923975, 106.64210413852167
Cơm Xưa – Trần Cao Vân,images/restaurant/Cơm Xưa – Trần Cao Vân/cover.jpg,10.784568058201657, 106.69732318085103
Mabu-KKO Chi - Thái Văn Lung,images/restaurant/Mabu-KKO Chi - Thái Văn Lung/cover.jpg,10.779712819165086, 106.70444123852164
Buffet Gánh - Khách Sạn Bông Sen,images/restaurant/Buffet Gánh - Khách Sạn Bông Sen/cover.jpg,10.775429422318805, 106.70376618085105
Ghiền Quán - Hoàng Sa,images/restaurant/Ghiền Quán - Hoàng Sa/cover.jpg,10.795489163400529, 106.69003338085115
Cơm Gà Thượng Hải – Võ Văn Tần,images/restaurant/Cơm Gà Thượng Hải – Võ Văn Tần/cover.jpg,10.77824703895287, 106.6919573520158
Mợ Mê Ốc - Trần Hưng Đạo,images/restaurant/Mợ Mê Ốc - Trần Hưng Đạo/cover.jpg,10.762806711279191, 106.69100636920396
Le Monde Steak - Phan Xích Long,images/restaurant/Le Monde Steak - Phan Xích Long/cover.jpg,10.797943555836241, 106.68901023852177
Đông Dương - Trương Định,images/restaurant/Đông Dương - Trương Định/cover.jpg,10.779144980045919, 106.68884700968634
Gu - Nhậu Đúng Chất - Hoa Lan,images/restaurant/Gu - Nhậu Đúng Chất - Hoa Lan/cover.jpg,10.797121628520713, 106.6917024096866
48 Bistro - Lê Thị Riêng,images/restaurant/48 Bistro - Lê Thị Riêng/cover.jpg,10.771767244403115, 106.69185133852156
Quán Ăn Sân Vườn Hoàng Hiếu - Lâm Văn Bền,images/restaurant/Quán Ăn Sân Vườn Hoàng Hiếu - Lâm Văn Bền/cover.jpg,10.739839851683787, 106.7154766725085
Hương Dừa - Nguyễn Xiển,images/restaurant/Hương Dừa - Nguyễn Xiển/cover.jpg,10.828168272491716, 106.83120428085138
Hồ Lô Gia - Phạm Văn Chí,images/restaurant/Hồ Lô Gia - Phạm Văn Chí/cover.jpg,10.74187154698337, 106.64136313852129
Hầm Rượu Luxury - 429 Bình Trị Đông,images/restaurant/Hầm Rượu Luxury - 429 Bình Trị Đông/cover.jpg,10.774592281725475, 106.60907476920393
Ăn Được Phúc - Phan Xích Long,images/restaurant/Ăn Được Phúc - Phan Xích Long/cover.jpg,10.798523877317221, 106.68799633852177
Nhà hàng Rạng Đông – Cách Mạng Tháng 8,images/restaurant/Nhà hàng Rạng Đông – Cách Mạng Tháng 8/cover.jpg,10.772093640374926, 106.69151829118752
Moon Go - Ẩm Thực Hàn Quốc - Quang Trung,images/restaurant/Moon Go - Ẩm Thực Hàn Quốc - Quang Trung/cover.jpg,10.830732681505868, 106.66997182502791
Chang - Hoàng Hoa Thám,images/restaurant/Chang - Hoàng Hoa Thám/cover.jpg,10.800036748966791, 106.64732825201597
Chang - Lê Văn Sỹ,images/restaurant/Chang - Lê Văn Sỹ/cover.jpg,10.79668062343045, 106.66507570968653
Tám Riêu - Nguyễn Tri Phương,images/restaurant/Tám Riêu - Nguyễn Tri Phương/cover.jpg,10.76644790898351, 106.66763072502742
Hoa Viên Pilsner Original – Phổ Quang,images/restaurant/Hoa Viên Pilsner Original – Phổ Quang/cover.jpg,10.803654932960539, 106.66651621288511
Chay Xanh - Lê Văn Thịnh,images/restaurant/Chay Xanh - Lê Văn Thịnh/cover.jpg,10.786636996240993, 106.76893173852176
Hoàng Yến Cuisine – Ngô Đức Kế,images/restaurant/Hoàng Yến Cuisine – Ngô Đức Kế/cover.jpg,10.774307562851567, 106.70618906920409
Vườn Ẩm Thực Số 7 - Phạm Văn Hai,images/restaurant/Vườn Ẩm Thực Số 7 - Phạm Văn Hai/cover.jpg,10.798401427666496, 106.66521334036895
Bê Vàng – An Dương Vương,images/restaurant/Bê Vàng – An Dương Vương/cover.jpg,10.761021751725036, 106.6830494538627
Vườn Chay Garden - Lê Quang Định,images/restaurant/Vườn Chay Garden - Lê Quang Định/cover.jpg,10.811978388293756, 106.69081388085131
Moo Beef Steak - Ngô Đức Kế,images/restaurant/Moo Beef Steak - Ngô Đức Kế/cover.jpg,10.77338468539549, 106.70570914036877
Lẩu Dê Tài Ký - Ung Văn Khiêm,images/restaurant/Lẩu Dê Tài Ký - Ung Văn Khiêm/cover.jpg,10.80893237460534, 106.71556416920427
Chay Shanti Veggie - Lương Hữu Khánh,images/restaurant/Chay Shanti Veggie - Lương Hữu Khánh/cover.jpg,10.769760946089944, 106.68677095201564
Chamie Steak - Sư Vạn Hạnh,images/restaurant/Chamie Steak - Sư Vạn Hạnh/cover.jpg,10.7733558430672, 106.66905153852156
Ngọc Sương Seafood & Bar - Nguyễn Siêu,images/restaurant/Ngọc Sương Seafood & Bar - Nguyễn Siêu/cover.jpg,10.779268917162304, 106.7055546692041
Hoàng Ty - Trương Quốc Dung,images/restaurant/Hoàng Ty - Trương Quốc Dung/cover.jpg,10.795645124303212, 106.67232833667478
Lạc Thái 1 - Mạc Thị Bưởi,images/restaurant/Lạc Thái 1 - Mạc Thị Bưởi/cover.jpg,10.774759584672175, 106.70415982318035
Biển Việt - Nguyễn Văn Cừ,images/restaurant/Biển Việt - Nguyễn Văn Cừ/cover.jpg,10.760300754039728, 106.683492880851
Eden - Lounge & Bespoke Cocktail - Ngô Đức Kế,images/restaurant/Eden - Lounge & Bespoke Cocktail - Ngô Đức Kế/cover.jpg,10.77265719272117, 106.70433047830754
King BBQ Buffet - Vạn Hạnh Mall,images/restaurant/King BBQ Buffet - Vạn Hạnh Mall/cover.jpg,10.770829565532862, 106.66957303852159
