segment_id,time_window,avg_vehicles,std_vehicles,min_vehicles,max_vehicles,sample_count,avg_cars,avg_motorcycles,avg_buses,avg_trucks,segment_name,lat,lon,hour,day_of_week,is_weekend,is_rush_hour
SEG_0042,2025-12-18 01:00:00,6.0,,6,6,1,3.0,3.0,0.0,0.0,,10.792779,106.707398,1,3,0,0
SEG_0042,2025-12-18 07:30:00,26.0,5.656854249492381,22,30,2,3.0,23.0,0.0,0.0,,10.792779,106.707398,7,3,0,1
SEG_0043,2025-12-18 00:45:00,5.5,7.816648898345122,0,19,6,1.8333333333333333,3.5,0.0,0.16666666666666666,,10.7846395,106.6839355,0,3,0,0
SEG_0044,2025-12-18 00:00:00,12.0,0.0,12,12,2,5.0,7.0,0.0,0.0,,10.770044,106.682118,0,3,0,0
SEG_0044,2025-12-18 00:15:00,0.0,,0,0,1,0.0,0.0,0.0,0.0,,10.770044,106.682118,0,3,0,0
SEG_0044,2025-12-18 00:30:00,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,,10.770044,106.682118,0,3,0,0
SEG_0044,2025-12-18 00:45:00,4.0,6.928203230275509,0,12,3,1.6666666666666667,2.3333333333333335,0.0,0.0,,10.770044,106.682118,0,3,0,0
SEG_0045,2025-12-17 23:45:00,18.0,0.0,18,18,2,8.0,8.0,1.0,1.0,,10.767864,106.671538,23,2,0,0
SEG_0045,2025-12-18 00:45:00,2.0,,2,2,1,1.0,0.0,0.0,1.0,,10.767864,106.671538,0,3,0,0
SEG_0045,2025-12-18 01:00:00,2.0,,2,2,1,1.0,0.0,1.0,0.0,,10.767864,106.671538,1,3,0,0
SEG_0045,2025-12-18 07:30:00,13.0,,13,13,1,4.0,9.0,0.0,0.0,,10.767864,106.671538,7,3,0,1
SEG_0046,2025-12-17 23:45:00,11.0,9.237604307034012,3,19,4,2.0,9.0,0.0,0.0,,10.7695165,106.6658855,23,2,0,0
SEG_0046,2025-12-18 00:45:00,1.0,1.4142135623730951,0,2,2,1.0,0.0,0.0,0.0,,10.7695165,106.6658855,0,3,0,0
